MAX_LENGTH,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,WARMUP_RATIO,DROPOUT,GRADIENT_CLIP,EPOCHS,EARLY_STOPPING_PATIENCE,W_F1,W_ASR,W_FRR,T_BLOCK,T_TRANSFORM,trial,val_f1,val_asr,val_frr,score,regex_f1,regex_asr,regex_frr,regex_score
512,4,1e-05,0.05,0.1,0.2,1.0,3,2,0.3,0.5,0.2,0.4,0.3,70,0.8779,0.0738,0.13,0.90047,0.8773,0.0656,0.13,0.90439
256,16,3e-05,0.01,0.1,0.1,1.0,3,2,0.3,0.5,0.2,0.6,0.3,71,0.8724,0.0984,0.11,0.89052,0.8656,0.1311,0.08,0.87813
512,4,1e-05,0.1,0.1,0.3,0.5,3,2,0.3,0.5,0.2,0.7,0.4,72,0.8701,0.0328,0.16,0.91263,0.8657,0.0492,0.15,0.90511
380,4,2e-05,0.1,0.1,0.2,1.0,3,3,0.3,0.5,0.2,0.7,0.3,73,0.9029,0.0738,0.07,0.91997,0.8929,0.082,0.07,0.91287
444,4,2e-05,0.1,0.1,0.2,1.0,3,3,0.3,0.5,0.2,0.7,0.4,74,0.9027,0.0656,0.08,0.92201,0.887,0.0902,0.07,0.907
444,4,2e-05,0.1,0.1,0.1,1.0,5,2,0.3,0.5,0.2,0.5,0.4,75,0.8895,0.041,0.13,0.92035,0.8842,0.041,0.13,0.91876
444,4,3e-05,0.01,0.1,0.3,0.5,3,2,0.3,0.5,0.2,0.8,0.3,76,0.9009,0.0492,0.08,0.92967,0.899,0.0574,0.06,0.929
380,4,2e-05,0.05,0.1,0.1,0.5,3,3,0.3,0.5,0.2,0.7,0.3,77,0.8879,0.0574,0.1,0.91767,0.8723,0.0738,0.1,0.90479
444,4,2e-05,0.01,0.05,0.1,1.0,5,2,0.3,0.5,0.2,0.8,0.2,78,0.912,0.0738,0.06,0.9247,0.8965,0.0984,0.05,0.90975
512,4,3e-05,0.1,0.1,0.3,1.0,5,2,0.3,0.5,0.2,0.8,0.4,79,0.891,0.082,0.07,0.9123,0.8709,0.1148,0.07,0.88987
444,4,1e-05,0.1,0.05,0.3,1.0,5,3,0.3,0.5,0.2,0.4,0.3,80,0.8835,0.082,0.09,0.90605,0.8731,0.0902,0.09,0.89883
512,4,1e-05,0.01,0.05,0.2,1.0,5,3,0.3,0.5,0.2,0.7,0.4,81,0.8739,0.0738,0.11,0.90327,0.8694,0.0984,0.1,0.89162
512,4,1e-05,0.1,0.1,0.1,1.0,5,2,0.3,0.5,0.2,0.8,0.4,82,0.8768,0.0656,0.13,0.90424,0.8623,0.0984,0.12,0.88549
444,4,2e-05,0.05,0.05,0.1,1.0,3,2,0.3,0.5,0.2,0.5,0.2,83,0.8819,0.0738,0.09,0.90967,0.8765,0.0738,0.09,0.90805
